1.000	1.944
2.000	1.296
3.000	1.564
4.000	1.296
5.000	1.456
6.000	0.324
7.000	0.156
8.000	2.160
9.000	1.452
10.000	1.188
11.000	1.128
12.000	0.972
13.000	0.372
14.000	0.000
15.000	0.156
16.000	1.732
17.000	1.452
18.000	1.404
19.000	1.236
20.000	1.080
21.000	0.480
22.000	0.000
23.000	0.156
24.000	0.000
25.000	0.156
26.000	0.000
27.000	0.156
28.000	0.000
29.000	0.156
30.000	0.000
31.000	0.156
32.000	1.728
33.000	1.776
34.000	1.408
35.000	1.296
36.000	1.560
37.000	0.216
38.000	0.156
39.000	0.000
40.000	0.156
41.000	0.000
42.000	0.156
43.000	0.000
44.000	0.156
45.000	0.000
46.000	0.156
47.000	0.000
48.000	0.156
49.000	0.000
50.000	0.156
51.000	0.000
52.000	0.156
53.000	0.000
54.000	0.156
55.000	0.000
56.000	0.156
57.000	0.000
58.000	0.156
59.000	0.000
60.000	0.156
61.000	0.000
62.000	0.156
63.000	0.000
64.000	1.992
65.000	1.296
66.000	1.348
67.000	1.080
68.000	1.128
69.000	0.216
70.000	0.156
71.000	0.000
72.000	0.156
73.000	0.000
74.000	0.156
75.000	0.000
76.000	0.000
77.000	0.156
78.000	0.000
79.000	0.156
80.000	0.000
81.000	0.156
82.000	0.000
83.000	0.156
84.000	0.000
85.000	0.156
86.000	0.000
87.000	0.156
88.000	0.000
89.000	0.156
90.000	0.000
91.000	0.156
92.000	0.000
93.000	0.156
94.000	0.000
95.000	0.156
96.000	0.000
97.000	0.156
98.000	0.000
99.000	0.156
100.000	0.000
